WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
545	2573648.731	2521095.206	2603428.268	2269937.386
546	2581896.008	2528709.713	2609463.843	2275664.126
547	2586924.203	2532377.249	2613722.667	2288346.422
548	2600915.69	2546172.498	2627424.143	2294156.399
549	2615953.344	2560426.264	2641678.947	2307207.867
550	2627231.104	2571065.056	2652197.618	2320492.947
551	2640318.903	2583792.522	2663659.252	2331188.368
552	2650895.234	2593883.212	2673660.199	2342740.693
553	2656153.711	2598325.355	2678129.227	2355300.571
554	2669931.267	2612486.112	2691554.167	2362499.023
555	2684706.597	2626681.329	2705453.408	2375755.009
556	2695629.774	2636216.161	2715572.133	2387712.087
557	2709565.988	2650098.948	2727946.788	2395153.286
558	2724099.702	2664075.539	2741701.874	2407598.865
559	2733841.474	2672707.091	2750694.556	2417926.041
560	2739046.755	2677607.644	2754814.748	2431984.393
561	2753804.414	2691917.674	2768716.009	2443939.193
562	2768377.905	2705964.166	2782700.327	2451320.743
563	2778353.526	2715542.491	2792000.981	2464497.641
564	2791425.048	2728490.871	2804689.324	2476950.987
565	2807347.042	2743909.339	2819792.202	2485062.829
566	2816890.479	2752898.463	2828642.402	2497701.46
567	2821703.271	2757583.441	2833116.896	2507672.471
568	2835778.454	2771058.851	2845114.035	2521156.423
569	2850984.781	2785965.593	2859364.637	2532705.182
570	2860522.5	2795346.166	2868824.856	2541188.836
571	2873983.251	2807610.443	2881617.828	2553303.798
572	2888222.368	2821389.688	2895179.89	2564904.865
573	2896713.393	2829542.973	2902140.931	2572315.134
574	2900741.565	2833893.817	2905856.889	2583630.857
575	2914807.57	2847104.314	2919276.111	2593289.426
576	2923741.632	2855859.094	2927699.024	2603636.527
577	2935980.317	2868069.86	2939657.328	2617404.866
578	2949948.315	2881459.974	2952131.2	2624112.46
579	2962813.398	2894036.622	2964371.691	2636771.531
580	2972272.783	2903397.933	2973696.839	2648769.802
581	2977887.9	2908087.213	2978446.562	2657268.251
582	2992802.29	2922490.8	2992675.95	2670290.298
583	3004941.62	2934619.527	3004335.737	2681168.892
584	3015122.901	2944830.95	3014046.591	2693700.837
585	3029090.852	2958215.515	3027195.633	2705883.056
586	3042270.117	2971369.291	3039956.29	2714253.74
